"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 01 13:21:34 GMT 2024","Fri Mar 01 13:21:35 GMT 2024","582","Pages Report","Tests","Test Login","","","Test Invalid Login",""
"passed","Fri Mar 01 13:21:30 GMT 2024","Fri Mar 01 13:21:33 GMT 2024","3658","Pages Report","Tests","Shopping Cart","","","Test Adding A Backpack to Cart",""
"passed","Fri Mar 01 13:21:33 GMT 2024","Fri Mar 01 13:21:34 GMT 2024","593","Pages Report","Tests","Test Login","","","Test Valid Login",""
